split,pid,remove
0,10,
0,36,
0,39,
0,42,
0,63,
0,70,1
0,73,
0,74,
0,87,
0,88,
0,89,
0,104,
0,105,
0,106,
0,120,
0,121,
0,123,
0,133,
0,140,1
0,154,
0,193,
0,200,
0,229,
0,235,
0,279,
1,9,
1,19,
1,23,
1,27,
1,35,
1,50,
1,53,
1,67,
1,68,
1,72,
1,77,
1,79,
1,85,
1,111,
1,127,
1,144,
1,157,
1,158,
1,160,
1,168,
1,204,
1,207,
1,222,
1,223,
1,225,
2,8,
2,11,
2,15,
2,21,
2,24,
2,47,
2,48,
2,52,
2,56,
2,60,
2,61,
2,84,
2,93,
2,103,
2,108,
2,110,
2,130,
2,142,
2,150,
2,159,
2,164,
2,198,
2,230,
2,234,
2,274,
3,14,
3,25,
3,32,
3,46,
3,51,
3,76,
3,81,
3,97,
3,98,
3,101,
3,107,
3,116,
3,119,
3,126,
3,136,
3,138,
3,161,
3,169,
3,206,
3,224,
3,227,
3,237,
3,261,
3,268,
3,272,
4,12,
4,45,
4,58,
4,59,
4,65,
4,69,
4,71,
4,83,
4,90,
4,92,
4,95,
4,99,
4,100,
4,102,
4,109,
4,113,
4,114,
4,129,
4,153,
4,195,
4,196,
4,221,
4,231,
4,276,
4,277,
